41096,"INDIVIDUAL INVESTIGATION IN INFORMATION ARCHITECTURE, INFORMATION USE OR KNOWLEDGE MANAGEMENT ",IAKM,Permission of instructor.,,Research or individual investigation for baccalaureate level students at or above the junior level.,2011
80312,BUSINESS INTELLEGENCE-COMPETITIVE INTELLIGENCE ,IAKM,IAKM 60301 or 80301; 60302 and 80302; and doctoral standing.,,"An introduction to strategic intelligence consisting of competitive and business Intelligence. Strategic intelligence is an art, science, and craft. Businesses and governments require effective intelligence programs, processes, and tools to track businesses, competitors, markets and trends by acquiring, creating, managing, packaging, and disseminating intelligence knowledge.",2011
80313,STRATEGIC KNOWLEDGE MANAGEMENT-VIRTUAL COMMUNITIES ,IAKM,IAKM 60301 or 80301; and 60302 or 80302; and doctoral standing.,,"Strategic Knowledge Management as it manifests in Virtual Communities: Communities-of-Practice (COPs) and Communities-of-Interest (COIs). Areas covered include: trust, facilitation of virtual communities, leadership and emotional intelligence in a virtual environment, social network analysis, and supporting learning communities with collaborative tools.",2011
80401,HEALTH INFORMATICS MANAGEMENT ,IAKM,doctoral standing.,,"Covers the areas encompassing Health informatics management including the planning, selection, deployment, and management of electronic medical records (EMR), management decision-support and tracking systems (DSS), and other health information technologies (HIT).",2011
80402,LEGAL ISSUES IN HEALTH INFORMATICS ,IAKM,doctoral standing.,,"Introduction to the fundamentals of law for Health Informatics and Information Management. Elements of the course include general legal principles and healthcare; legal electronic medical records (EMR); Health Insurance Portability and Accountability Act (HIPAA) privacy rules and security rules; access, requests and disclosure of health information; required reporting and mandatory disclosure laws; risk management and quality improvement; compliance; workforce overview; related ethics and social issues.",2011
80403,HEALTH INFORMATION SYSTEMS ,IAKM,doctoral standing.,,"Introduction to information systems and their applications in healthcare used for managerial and clinical support. Study the fundamentals of information systems, including Electronic Medical Records (EMR), information security. Understand the role of standardized codes, vocabularies and terminologies used in health information systems. Analysis of management and enterprise systems, identify the key elements to manage information resources effectively and the trends affecting the development of health information systems and networks.",2011
80410,HEALTH RECORDS MANAGEMENT ,IAKM,doctoral standing.,,"Conceptual foundations and practicum for health records management, including the planning, implementation and operation of electronic medical records (EMR); the management of EMR in management and enterprise systems; identifying, selecting and evaluating EMR and health information systems, applications, and repositories; and issues of data quality, integrity, migration, and interoperability.",2011
80691,SEMINAR IN IFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,doctoral standing.,,Advanced research by students who are qualified to examine problems of certain special areas related to current concentrations of study in IAKM.,2011
80693,VARIABLE TITLE WORKSHOP IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,doctoral standing.,,Intensive examination of special topics of interest to those involved in program concentrations.,2011
81095,SELECTED TOPICS IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,doctoral standing.,,Offered irregularly as resources and-or opportunities permit. Topics could include current or emerging issues in concentrations available in the IAKM program. Specific topics will be announced in the Schedule of Classes.,2011
81096,INDIVIDUAL INVESTIGATION IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,doctoral standing.,,Research or individual investigation for doctoral level students.,2011
