Course Number,Course Name,Department,Prerequisites,Corequesites,Description
GEOL 64030 ,"SYSTEMATIC INVERTEBRATE PALEONTOLOGY I
",GEOL,graduate standing.,None,"(Cross-listed with GEOL 74030) Detailed investigation and examination of
important literature concerning
 taxonomic characters of invertebrate phyla: Protista, Porifera, Cnidaria and Bryozoa. Numerous oral reports,
specimen examination."
GEOL 64032 ,"SYSTEMATIC INVERTEBRATE PALEONTOLOGY II
",GEOL,graduate standing.,None,"(Cross-listed with GEOL 74032) Detailed investigation and examination of
important literature concerning
 taxonomic characters of invertebrate phyla: Brachiopoda, Mollusca, Arthropoda and Echinodermata. Numerous
2015 Kent State University Catalog - Spring 2016 Course Descriptions
oral reports, specimen examination."
GEOL 64038 ,"PALEOLIMNOLOGY
",GEOL,Graduate standing.,None,"An overview of significant topics and applications in paleolimnology of Holocene (last 10,000 years) and
 Pleistocene (last 2 million years) records, including current issues in environmental and climatic reconstruction.
 Extensive reading expected."
GEOL 64065 ,"SEDIMENTOLOGY
",GEOL,Graduate standing.,None,"(Cross-listed with GEOL 74065) Fluid dynamics, grain transport, sedimentary structures, granulometry, bedform
 and facies sequences, and facies architecture. Interpretation of continental and marine clastic depositional
 environments and processes."
GEOL 70080 ,"RESEARCH ORIENTATION
",GEOL,Doctoral standing.,None,"(Cross-listed with GEOL 60080) Faculty research presentations; thesis/dissertation proposal preparation;
 discussion of professional organizations, preparation of manuscripts and oral presentation of papers."
GEOL 70084 ,"GEOLOGY GRADUATE STUDENT ORIENTATION
",GEOL,Doctoral standing.,None,"(Slashed with GEOL 60084) Introduction to departmental resources, procedures, and expectations as well as
 approaches to successfully conduct research at a graduate level. Training and experience in presentation of data
 and college teaching of applied geology, as well as
discussion forum on professional ethics and responsibilities."
GEOL 70091 ,"SEMINAR
",GEOL,Doctoral standing.,None,"(Cross-listed with GEOL 60091) (Repeatable for credit)Specialized topics
in geology. Precise title to be inserted
 in schedule of classes."
GEOL 70093 ,"VARIABLE TITLE WORKSHOP IN GEOLOGY
",GEOL,Special approval and doctoral standing.,None,"(Repeatable for credit)Workshop and/or training program, of varying duration focused on a specific professional
 or disciplinary topic."
GEOL 70094 ,"COLLEGE TEACHING OF APPLIED GEOLOGY
",GEOL,Doctoral standing.,None,"(Cross-listed with GEOL 60094) (Repeatable for credit)Training and experience in presentation of data and
 college teaching of applied geology, as well as a discussion forum on professional ethics and responsibilities."
GEOL 71093 ,"WORKSHOP IN COLLEGE TEACHING
",GEOL,Doctoral standing.,None,(Repeatable for credit)Workshop in college teaching.
GEOL 72011 ,"HYDROLOGY
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 62011) Introduction to hydrologic measurements, properties of water precipitation,
2015 Kent State University Catalog - Spring 2016 Course Descriptions
evapotranspiration, runoff computations, streamflow and flood routing."
GEOL 72030 ,"REMOTE SENSING
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 42030 and GEOL 52030 and GEOG 41052 and GEOG 51052 and GEOG 71052)
 Computer analysis of multispectral satellite datasets. Applications in Terrestrial Earth Science are emphasized."
GEOL 72068 ,"ADVANCED HYDROGEOLOGY
",GEOL,doctoral standing.,None,"Quantitative approach to occurrence of ground water;methods of investigation evaluation and development of
 ground water resources emphasizing optimization and maximal exploitation without environmental changes."
GEOL 72069 ,"HYDROGEOCHEMISTRY
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 42069 and GEOL 52069) Processes and evolution of
the chemical composition of water
 in the natural hydrologic cycle. Methods of hydrochemical interpretation applied to ground water and pollution
 problems. Lecture three hours weekly."
GEOL 72079 ,"ADVANCED ENGINEERING GEOLOGY
",GEOL,GEOL 4 52078 and doctoral standing.,None,"(Cross-listed with GEOL 62079) Role of geology in site selection,design and construction relative to dams
 tunnels highways slope stability and nuclear power plants. Selected case histories. Lecture three hours weekly.
 Field trip and term paper required."
GEOL 72082 ,"INTRODUCTION TO SOIL MECHANICS
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 62082) Engineering properties and engineering behavior of soils including classification
 properties,compaction permeability strength and compressibility. Lecture three hours and lab two hours weekly."
GEOL 72083 ,"ROCK SLOPE STABILITY
",GEOL,"doctoralstanding.
",None,"Provide information used to recognize,avoid design for control and correct slope movements in rocks
 determination of shear strength along rock discontinuities stability analysis of rock slopes."
GEOL 72084 ,"FOUNDATION ENGINEERING
",GEOL,GEOL 42078 or 52078 or 42082 or 52082 or 72082; and doctoral standing.,None,"(Cross-listed with GEOL 62084) Seepage and drainage of foundation soils.
Subsurface investigations. Principles
 design and construction of shallow and deep foundations. Earth retaining structures. Lecture three hours
 weekly."
GEOL 73042 ,"ENVIRONMENTAL GEOCHEMISTRY
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 43042 and GEOL 53042) Explores chemical processes that influence the natural
 environment including anthropogenic
impacts. Topics include atmospheric chemistry and air pollution, energy
 and climate change, toxic organic compounds, water chemistry and water pollution, metals, soils, sediments
 and waste disposal. Environmental problem solving using steady state and non-steady state box models,
thermodynamics and energy transfer, and chemical reactions and equilibria is emphasized. Required half-day
 field trip."
GEOL 73044 ,"ENVIRONMENTAL ISOTOPES
",GEOL,"doctoralstanding.
",None,"(Cross-listed with GEOL 43044 and GEOL 53044) Deals with the fundamentals of isotope geochemistry and the
 application of primarily light stable isotopes (H, O, C, N) to earth system processes (involving the hydrosphere,
 biosphere, and upper geosphere)."
GEOL 73063 ,"SEDIMENTARY PETROLOGY
",GEOL,doctoral standing.,None,"Classification,texture composition provenance and diagenesis of sandstones and carbonates following review of
 optical mineralogy. Petrographic microscopy and other laboratory techniques are emphasized."
GEOL 73067 ,"CARBONATE ROCKS
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 63067) Basic principles of carbonate sedimentology including composition,classification
 origin and distribution of carbonate sediments their diagenesis and lithification."
GEOL 74028 ,"PALEOECOLOGY
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 64028) Relationships between ancient organisms and their environments, as
 interpreted from fossils, enclosing rock strata and recent analogs. Field and laboratory studies. Saturday field
trips."
GEOL 74030 ,"SYSTEMATIC INVERTEBRATE PALEONTOLOGY I
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 64030) Detailed investigation and examination of
important literature concerning
2015 Kent State University Catalog - Spring 2016 Course Descriptions
taxonomic characters of invertebrate phyla: Protista, Porifera, Cnidaria and Bryozoa. Numerous oral reports,
specimen examination."
GEOL 74032 ,"SYSTEMATIC INVERTEBRATE PALEONTOLOGY II
",GEOL,doctoral standing.,None,"(Cross-listed with GEOL 64032) Detailed investigation and examination of
important literature concerning
 taxonomic characters of invertebrate phyla: Brachiopoda, Mollusca, Arthropoda and Echinodermata. Numerous
oral reports, specimen examination."
GEOL 74038 ,"PALEOLIMNOLOGY
",GEOL,Doctoral standing.,None,"An overview of significant topics and applications in paleolimnology of Holocene (last 10,000 years) and
 Pleistocene (last 2 million years) records, including current issues in environmental and climatic reconstruction.
 Extensive reading expected."
GEOL 74052 ,"GLACIERS AND GLACIATION
",GEOL,Doctoral standing.,None,"(Cross-listed with GEOG 41052, GEOG 51052 and GEOG 71052) Examination of
how glacial ice masses change
 the shape of the earth's surface, how they are integral to climate and sea level change and how they pose high
 risk hazards."
GEOL 74065 ,"SEDIMENTOLOGY
",GEOL,Doctoral standing.,None,"(Cross-listed with GEOL 64065) Fluid dynamics, grain transport, sedimentary structures, granulometry, bedform
 and facies sequences and facies architecture. Interpretation of continental and marine clastic depositional
 environments and processes."
GEOL 80091 ,"SEMINAR IN APPLIED GEOLOGY
",GEOL,Doctoral standing.,None,(Repeatable for credit)Specialized topics in applied geology. Precise title to be inserted in schedule of classes.
GEOL 80095 ,"ADVANCED TOPICS IN GEOLOGY
",GEOL,Special approval and doctoral standing.,None,"(Repeatable for credit)Advanced topics presented by visiting professors or one-time offerings presented by
 regular faculty."
GEOL 80098 ,"RESEARCH
",GEOL,Doctoral standing.,None,"(Repeatable for credit)Research for doctoral students. Credits earned may be applied toward degree if
 department approves."
GEOL 80199 ,"DISSERTATION I
",GEOL,Admission to candidacy for doctoral degree and doctoral standing.,None,"(Repeatable for credit)Doctoral dissertation, for which registration in at least two semesters is required first of
 which will be semester in which dissertation work is begun and continuing until the completion of 30 hours."
GEOL 80299 ,"DISSERTATION II
",GEOL,"GEOL 80199 and doctoralstanding.
",None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
(Repeatable for credit)Continuing registration required of doctoral students who have completed the initial 30
 hours of dissertation, continuing until all degree requirements are met."
