,Keywords,Similar Departments
LIS,"Digital, Library, Museum","IAKM, DSCI, COMT, MIS, CS, TECH"
MATH,"Algebra, Calculus, Differential, Equation, Function, Number, Numerical, Polynomial, Ring, Theorem",CS
MCED,"Authorize, Bcii, Bureau, Check, Criminal, Fbi, Grade, Identification, Investigation, Mathematic, Schoolagency, Submit, Teach, Teaching","ADED, ECET, CI, ECED, EDUC, SPSY, CTTE, HED, SPED, EDAD"
MCLS,"Elementary, Foreign, Language, Second","ENG, HRTG, CI, ASL, SPED, ITAL, HEBR, SPA, GER"
MERT,"Design, Engineering, Fluid, Kinematic, Mechanical, Property, Stress","IERT, TECH"
MFGT,"Bearing, Cam, Cnc, Code, Factory, Helical, Lathe, Mill, Offset, Programming, Pulley, Rubber",
MIS,"Business, Chain, Management, Operation, Strategic, Supply","IAKM, TECH, BMRT, DSCI, EMBA, COMT, CS, PADM, AGRI, ITAP"
MKTG,"Firm, Marketing, Sale","MMTG, EMBA, MIS, BMRT, AGRI, ENTR"
MMTG,"Communication, Decisionmake, Incorporate, Marketing, Software, Tool","MKTG, EMBA"
MSCI,"Decisionmake, Dimension, Execute, Leader, Leadership, Military, Organizational, Stress, Task, Undertake",ASTU
MUS,"Audition, Ensemble, Minor, Music, Performance, Repertoire",KBM
NRST,"Care, Nursing, Selfcare, Therapeutic",NURS
NSE,"Academic, Await, Back, Creditthis, Hold, Keeping, Kent, Mean, Real, Record, State, Transfer",
NURS,"Achieve, Care, Clinical, Health, Nurse, Nursing, Practicum, Progress","NRST, PH, HPM, HED, IHS, RTT, GERO, CLI, EHS, IAKM"
NUTR,"Diet, Dietetic, Food, Nutrition, Nutritional",
OCAT,"Assistant, Dysfunction, Healthcare, Occupational, Therapeutic, Therapy",PTST
OIA,"Approve, Creditthis, Enrol, Exchange, Foreign, Involve, Kent, Program, Register, State, Studyabroad, University, Vehicle",
ORT,"Biomechanic, Extremity, Foot, Incidence, Pathology, Pathomechanic","PMD, SUR"
PADM,"Administration, Budget, Governance, Nonprofit, Organization","POL, MIS, IAKM"
PAS,"Africa, African, Africanamerican, American, Kiswahili",HIST
PHIL,"Ethical, Figure, Override, Philosophic, Philosophical, Philosophy, Primarysource, Tradition",
PHY,"Equation, Mechanic, Nuclear, Particle, Physics, Quantum",
PH,"Disease, Environmental, Health","HPM, HED, EHS, CMD, SBS, NURS, IHS, EVHS, IAKM, EPI"
PLST,"Also, Bankruptcy, Chapter, Law, Litigation, Patent, Tort, Trademark",
PMD,"Academy, Ankle, Diabetic, Foot, Monthly, Numerous, Patient, Podiatric","SUR, ORT, CLI, GMD"
POL,"Conflict, Policy, Politic, Political","CACM, HIST, PADM, ECON, BAD, MIS, SOC, COMM, HPM"
PSYC,"Behavior, Memory, Neural, Psychological, Psychology, Psychopathology, Psychotherapy","BMS, SPSY, SPED, SPA, EPSY, IAKM"
PTST,"Assistant, License, Physical, Pt, Pta, Therapist, Therapy","OCAT, RTT"
RADT,"Clinical, Education, Image, Imaging, Medical, Radiation, Radiographic, Radiologic","RIS, CLI, ARTE"
REL,"Belief, Comparative, Pivotal, Religion, Religious, Study, Theorist",
RERT,"Appraisal, Cover, Estate, Market, Mortgage, Property, Real, Transaction",
RHAB,"Adjustment, Counselor, Disability, Job, Rehabilitation, Vocational",SPED
RIS,"Clinical, Ct, Image, Imaging, Instrumentation, Nuclear, Patient, Procedure, Quality, Radiation, Sonographic","RADT, CLI, RTT, BSC, VTEC"
RPTM,"Disability, Leisure, People, Recreation, Service, Tourism, Travel","SRM, SPED, SPAD"
RTT,"Cardiopulmonary, Care, Clinical, Laboratory, Respiratory, Therapy, Ventilation","RIS, NURS, VTEC, PTST"
RUSS,"Russian, Translation",TRST
SBS,"Alcohol, Behavior, Behavioral, Dietary, Grant, Health, Injury, Prevention, Science, Social, Sociobehavioral, Substance, Tobacco","HPM, PH, HED, EHS"
SOC,"Akron, Food, Social, Sociological","CULT, POL"
SPAD,"Golf, Sport","SRM, RPTM"
SPAN,"Hispanic, Literary, Spanish, Spanishamerican, Text, Translation","TRST, FR, ENG, ARAB"
SPA,"Audiologic, Audiology, Clinical, Disorder, Hear, Language, Pathology, Speech","SPED, PSYC, MCLS"
SPED,"Assessment, Child, Deaf, Disability, Education, Interpreter, Interpreting, Intervention","ECED, CI, SPSY, EDAD, HIED, CULT, EVAL, ARTE, HED, HDFS"
SPSY,"Bureau, Clinicalfield, Investigation, Psychologist, Psychology, School","ECET, ADED, MCED, EDUC, ECED, EDAD, CI, SPED, HED, CTTE"
SRM,"Leisure, Recreation, Sport, Tourism","SPAD, RPTM, CI"
SUR,"Ankle, Deformity, Foot, Indication, Patient, Physician, Podiatric, Surgery, Surgical, Trauma","CLI, PMD, GMD, ORT"
SVCD,"Design, Graphic, Guest, Hourssummer, Illustration, Investigate, Maximum, Offering, Photography, Primarily, Specialized, Summer, Teach",VCD
TAS,"Articulate, Bachelor, Career, Competency, Cornerstone, Describe, Entrepreneurial, Evolve, Familiarity, Help, Instruct, Organization, Part, Personalize, Reflect, Role, Stage",
TECH,"Computer, Control, Energy, Hardware, Network, Technology","COMT, CS, EERT, MIS, DSCI, IERT, IAKM, ITEC, ARCH, MERT"
THEA,"Musical, Performance, Production, Theatre",KBT
TRST,"Language, Multilingual, Text, Translation","SPAN, FR, ARAB, RUSS, JAPN, GER"
UD,"Comprehensive, Design, Ecological, Space, Urban","LARC, ARCH"
US,"Append, Career, Complex, Experiential, Leader, Plus, Reflective","CCS, AS"
VCD,"Communication, Design, Graphic, Illustration, Photography, Typography, Visual","SVCD, ARCH, ARCS, ID, AED, LARC, IAKM, ARTF, ARTE, ITAP"
VIN,"Fieldwork, Portion, Vine, Vineyard, Viticulture, Wine",ENOL
VTEC,"Animal, Clinical, Disease, Laboratory, Nursing, Patient, Veterinary","RTT, RIS"
WMST,"Feminism, Feminist, Study, Varie, Woman, Women, Womens",
