Course Number,Course Name,Department,Prerequisites,Description
41045,"and PHIL 41045). Consideration of various metatheorems, including soundness and completeness of propositional and predicate calculus, undecidability of predicate calculus and incompleteness of the theory of arithmetic. Prerequisite: PHIL 31045.42201 Introduction to Numerical Computing I",CS,special approval,"(Cross-listed with MATH 42201) An introduction to numerical methods and software for solving many common scientific computing problems. Linear systems, least-square data fitting, nonlinear equations and systems and optimization problems. Prerequisites: MATH 12003 and 21001 and CS 23021. Special fee: $25 flat fee—subject to change.42202 Introduction to Numerical Computing II (3)(Cross-listed with MATH 42202) A continuation of CS 42201. Topics include interpolation, numerical differentiation and integration, and numerical solution of ordinary differential equations. Prerequisites: MATH 32044 and CS 42201. Special fee: $25 flat fee—subject to change.43005 Introduction to Database System Design (3)An introduction to the basic theoretical aspects of database systems: file organization, search methodologies, language design and performance evaluation techniques. Initial modeling concepts and their use in hierarchical, network, relational and object-oriented database designs."
12003,and 21001 and CS 23021. Special fee: $25 flat fee—subject to change.42202 Introduction to Numerical Computing II,CS,special approval,"(Cross-listed with MATH 42202) A continuation of CS 42201. Topics include interpolation, numerical differentiation and integration, and numerical solution of ordinary differential equations. Prerequisites: MATH 32044 and CS 42201. Special fee: $25 flat fee—subject to change.43005 Introduction to Database System Design (3)An introduction to the basic theoretical aspects of database systems: file organization, search methodologies, language design and performance evaluation techniques. Initial modeling concepts and their use in hierarchical, network, relational and object-oriented database designs."
32044,and CS 42201. Special fee: $25 flat fee—subject to change.43005 Introduction to Database System Design,CS,special approval,"An introduction to the basic theoretical aspects of database systems: file organization, search methodologies, language design and performance evaluation techniques. Initial modeling concepts and their use in hierarchical, network, relational and object-oriented database designs."
46101,and junior standing. Special fee: $25 flat fee—subject to change.43006 Theory of Object-Oriented Programming,CS,special approval,"In-depth course on the theory and principles of object-based and object-oriented programming using a language such as C++. The course covers advanced topics in inheritance and interface planning, generic (type-independent) programming, factors of polymorphism, structure and organization of class libraries, and object-oriented design principles."
43111,Structure of Compilers,CS,special approval,"Techniques used to write compilers including lexical analysis, syntax analysis, syntax-directed translation, type checking, run-time environments and intermediate code generation. Prerequisites: CS 35101 and 33101. Special fee: $20 flat fee—subject to change.43202 Systems Administration (3)The setting up and day-to-day administration of multiuser, multitasking systems, such as the various versions of UNIX, together with the analysis of problems which can arise in these activities."
35101,and 33101. Special fee: $20 flat fee—subject to change.43202 Systems Administration,CS,special approval,"The setting up and day-to-day administration of multiuser, multitasking systems, such as the various versions of UNIX, together with the analysis of problems which can arise in these activities."
43203,Systems Programming,CS,special approval,"Implementation and maintenance of system programs, system utilities, command interpreters, editors, file maintenance programs, text processors. Interrupt handling. Device drivers."
43401,Secure Programming,CS,special approval,"Code vulnerabilities, static code analysis, error handling, secure I/O, race conditions and mediation, handling buffer and integer overflow, handling vulnerabilities in web and database programming, privacy and cryptography, random number generators."
33001,and junior standing. Special fee: $40 flat fee—subject to change. 43901 Software Engineering,CS,special approval,An introduction to software engineering concepts: life cycle models; modeling languages; requirements analysis; specification; design; testing; validation; project management and maintenance.
44201,Artificial Intelligence,CS,special approval,"Examines goals, problems, concepts and methods of artificial intelligence, heuristic versus algorithmic methods, natural language comprehension, theorem proving."
45111,Principles of VLSI Design,CS,special approval,"Introduction to the design of VLSI chips, with emphasis on FPLD-based design. Students will design various chips using standard industry logic synthesis tools."
45201,Computer Communications Networks,CS,special approval,"An introduction to net-centric systems, data communication protocols, network architectures, routing protocols, network management, congestion control, network security, compression techniques, mobile and wireless networks, and the World Wide Web as an example of a client-server system."
45231,Internet Engineering,CS,special approval,"Design fundamentals and working principles of Internet systems at the IP layer and above. DNS, inter-domain routing, Internet client server programming, application level protocols (HTTP, XML, etc.), Web server architecture, browser, Internet security and multimedia serving. Prerequisites: CS 33001 and 33211 and 45201. Special fee: $40 flat fee—subject to change.46101 Design and Analysis of Algorithms (3)Introduction to algorithmic concepts, design and complexity analysis of algorithms, searching, sorting, graphs, geometric, algebraic and parallel algorithms. Prerequisites: MATH 12003 and minimum C (2.0) grade in CS 33001.46201 Introduction to Theory of Automata, Formal Languages, Computation (3)A study of alphabets, strings, languages, regular languages and expressions, deterministic and nondeterministic finite automata, context-free grammars and languages, pushdown automata, Turing machines and complexity theory. Prerequisites: CS 23022 and MATH 12003.47101 Computer Graphics (3)Display file generation, interactive graphics techniques, display devices, three-dimensional graphics, graphic system design, graphic languages and applications in man-machine communications."
33001,and 33211 and 45201. Special fee: $40 flat fee—subject to change.46101 Design and Analysis of Algorithms,CS,special approval,"Introduction to algorithmic concepts, design and complexity analysis of algorithms, searching, sorting, graphs, geometric, algebraic and parallel algorithms. Prerequisites: MATH 12003 and minimum C (2.0) grade in CS 33001.46201 Introduction to Theory of Automata, Formal Languages, Computation (3)A study of alphabets, strings, languages, regular languages and expressions, deterministic and nondeterministic finite automata, context-free grammars and languages, pushdown automata, Turing machines and complexity theory. Prerequisites: CS 23022 and MATH 12003.47101 Computer Graphics (3)Display file generation, interactive graphics techniques, display devices, three-dimensional graphics, graphic system design, graphic languages and applications in man-machine communications."
12003,"and minimum C (2.0) grade in CS 33001.46201 Introduction to Theory of Automata, Formal Languages, Computation",CS,special approval,"A study of alphabets, strings, languages, regular languages and expressions, deterministic and nondeterministic finite automata, context-free grammars and languages, pushdown automata, Turing machines and complexity theory. Prerequisites: CS 23022 and MATH 12003.47101 Computer Graphics (3)Display file generation, interactive graphics techniques, display devices, three-dimensional graphics, graphic system design, graphic languages and applications in man-machine communications."
23022,and MATH 12003.47101 Computer Graphics,CS,special approval,"Display file generation, interactive graphics techniques, display devices, three-dimensional graphics, graphic system design, graphic languages and applications in man-machine communications."
47105,Web Design and Programming I,CS,special approval,"(Cross-listed with VCD 46000) A joint computer  science and visual communication design course on Web concepts and high-quality Web design: CS, VCD, principles, tools, architecture, presentation, design and creation of Web sites by teamwork. Web-based instruction is used. IP grade permissible. Prerequisites: CS 33001 and VCD 37000. Special fee: $20 flat fee—subject to change. 47106 Web Design and Programming II (3)(Cross-listed with VCD 46002) A joint computer  science and visual communication design course on advanced Web techniques and multimedia Web design: Web servers, security, advanced design, Java servlets, applets, database connectivity, site maintenance, creation of actual Web sites by teamwork. IP grade permissible."
33001,and VCD 37000. Special fee: $20 flat fee—subject to change. 47106 Web Design and Programming II,CS,special approval,"(Cross-listed with VCD 46002) A joint computer  science and visual communication design course on advanced Web techniques and multimedia Web design: Web servers, security, advanced design, Java servlets, applets, database connectivity, site maintenance, creation of actual Web sites by teamwork. IP grade permissible."
47107,"Web Design and Programming Studio (3-6)(Cross-listed with VCD 46053) A joint computer   science and visual communication design project course. Comprehensive experience on aspects of Web site creation, hosting, maintenance and management. Creative combination and integration of art and programming are emphasized. IP grade permissible. Prerequisites: CS 47106 and VCD 46003. Special fee: $6.67/credit hour—subject to change.47201 Human Computer Interaction",CS,special approval,"Approaches the human-computer interaction as an activity of the human whose productivity is increased by the use of the computer as a tool. Examines physiology and psychology, considers the structure and operation of the computer and models the interaction between the two."
47205,Information Security,CS,special approval,"An introduction to concepts and methodology useful for information security, as specified by the NSTISSI No. 4011 standard from the NSA."
4011,standard from the NSA. Prerequisite: CS 33006. Special fee: $40 flat fee—subject to change.47221 Introduction to Cryptology,CS,special approval,"Introduction to cryptography, classical cryptology, authentication, complexity issues, encryption standards, algebraic foundations, survey of existing cryptology protocols: AES/Rijndael, block chaining, asymmetric techniques. Prerequisites: minimum grade of C (2.0) in CS 33001 and junior standing. Special fee: $25 flat fee—subject to change. 48101 Game Engine Concepts (3)Introduction to 3D game engine design, game memory management, multithreading in games, sprites and bitmap animation level design, path finding, audio-visual effects, AI and physical modeling in games, networked gaming."
33001,and junior standing. Special fee: $25 flat fee—subject to change. 48101 Game Engine Concepts,CS,special approval,"Introduction to 3D game engine design, game memory management, multithreading in games, sprites and bitmap animation level design, path finding, audio-visual effects, AI and physical modeling in games, networked gaming."
38101,and 47101. Special fee: $55 flat fee—subject to change. 48102 Game Development Practicum,CS,special approval,"With supervision of the instructor, students will work in teams to design and implement a  computer game or a 3D interactive learning environment using a game engine."
49901,Capstone Project,CS,special approval,"The course is an integrative experience that brings together all components of the undergraduate computer science curriculum in an applied, hands-on, real-world setting. This course is three hours lecture and one hour lab. Prerequisites: CS 45201 and 43901 and 33006 and 43005.49995 Special Topics in Computer Science (1-4)(Repeat registration permissible) Special topics from all areas of computer science."
